ZipCode,Number,Station_ID,Distance (decimal degree),Distance (miles),Reliability Factor,CC-VMT1,Prod-VMT1,UF-VMT1,CC-VMT2,Prod-VMT2,UF-VMT2,CC-VMT3,Prod-VMT3,UF-VMT3,CC-VMT4,Prod-VMT4,UF-VMT4,CC-VMT5,Prod-VMT5,UF-VMT5,CC-VMT6,Prod-VMT6,UF-VMT6,CC-VMT7,Prod-VMT7,UF-VMT7
94601,1,62010,0.041408722,2.864282707,0.9,0.9,0.81,0.81,0.8,0.72,0.72,0.7,0.63,0.63,0.65,0.585,0.585,0.6,0.54,0.54,0.5,0.45,0.45,0.4,0.36,0.36
94601,2,48407,0.087606577,6.059834555,0.9,0.9,0.81,0.1539,0.8,0.72,0.2016,0.7,0.63,0.2331,0.65,0.585,0.242775,0.6,0.54,0.2484,0.5,0.45,0.2475,0.4,0.36,0.2304
94601,3,61975,0.156750516,10.84258991,0.9,0.9,0.81,0.029241,0.8,0.72,0.056448,0.7,0.63,0.086247,0.65,0.585,0.100751625,0.6,0.54,0.114264,0.5,0.45,0.136125,0.4,0.36,0.147456
94601,4,62001,0.219506495,15.18348377,0.9,0.9,0.81,0.00555579,0.8,0.72,0.01580544,0.7,0.63,0.03191139,0.65,0.585,0.041811924,0.6,0.54,0.05256144,0.5,0.45,0.07486875,0.4,0.36,0.09437184
94601,5,61989,0.227561588,15.74066261,0.9,0.9,0.81,0.0010556,0.8,0.72,0.004425523,0.7,0.63,0.011807214,0.65,0.585,0.017351949,0.6,0.54,0.024178262,0.5,0.45,0.041177813,0.4,0.36,0.060397978
94601,6,62011,0.249896245,17.2855732,0.9,0.9,0.81,0.000200564,0.8,0.72,0.001239146,0.7,0.63,0.004368669,0.65,0.585,0.007201059,0.6,0.54,0.011122001,0.5,0.45,0.022647797,0.4,0.36,0.038654706
94601,7,61983,0.285821471,19.77055696,0.9,0.9,0.81,3.81072E-05,0.8,0.72,0.000346961,0.7,0.63,0.001616408,0.65,0.585,0.002988439,0.6,0.54,0.00511612,0.5,0.45,0.012456288,0.4,0.36,0.024739012
94601,8,61982,0.319767017,22.11860431,0.9,0.9,0.81,7.24036E-06,0.8,0.72,9.71491E-05,0.7,0.63,0.000598071,0.65,0.585,0.001240202,0.6,0.54,0.002353415,0.5,0.45,0.006850959,0.4,0.36,0.015832967
94601,9,61950,0.367907649,25.44853998,0.9,0.9,0.81,1.37567E-06,0.8,0.72,2.72017E-05,0.7,0.63,0.000221286,0.65,0.585,0.000514684,0.6,0.54,0.001082571,0.5,0.45,0.003768027,0.4,0.36,0.010133099
94601,10,62004,0.392907389,27.17779701,0.9,0.9,0.81,2.61377E-07,0.8,0.72,7.61649E-06,0.7,0.63,8.18759E-05,0.65,0.585,0.000213594,0.6,0.54,0.000497983,0.5,0.45,0.002072415,0.4,0.36,0.006485183
