"","pop","ZIP","pop_share"
"7",40017,90001,0.00130018997453035
"10",34743,90002,0.00112883275320759
"11",46544,90003,0.00151225834456708
"12",51986,90004,0.0016890740439297
"13",31246,90005,0.00101521193353263
"14",48909,90006,0.0015890994193544
"15",37438,90007,0.00121639583843035
"16",27066,90008,0.000879399801350388
"17",3597,90010,0.0001168699137463
"19",72194,90011,0.00234565097386721
"25",27311,90012,0.000887360081825185
"28",10192,90013,0.000331147667751539
"29",6549,90014,0.000212783170732421
"30",14633,90015,0.000475439935459995
"31",38009,90016,0.00123494816557773
"34",18932,90017,0.000615118489587141
"38",37791,90018,0.0012278651405022
"39",54872,90019,0.00178284289882873
"42",32762,90020,0.00106446819965423
"43",2594,90021,0.0000842815002107038
"44",52169,90022,0.00169501988608026
"45",33871,90023,0.00110050065290545
"46",47503,90024,0.00154341715671128
"47",40492,90025,0.00131562317136924
"48",56419,90026,0.00183310638411245
"49",40883,90027,0.0013283271291882
"50",27484,90028,0.000892981014568613
"54",33397,90029,0.00108509994700728
"55",30941,90031,0.00100530219661503
"56",37605,90032,0.0012218218255295
"57",36580,90033,0.0011885186112982
"58",50553,90034,0.00164251452588732
"59",26327,90035,0.000855388996163145
"60",31494,90036,0.00102326968682957
"62",45181,90037,0.00146797319237464
"63",23769,90038,0.000772277169818125
"64",23701,90039,0.00077006778584961
"66",10157,90040,0.000330010484826568
"67",24168,90041,0.000785241055162794
"68",48714,90050,0.00158276368591527
"69",48714,90042,0.00158276368591527
"70",35066,90043,0.00113932732705803
"71",64958,90044,0.00211054652686465
"73",34969,90045,0.00113617570580883
"77",47599,90046,0.00154653628701977
"78",37241,90047,0.0012099951231098
"79",20151,90048,0.000654724946316843
"80",30204,90049,0.000981356373309212
"81",7059,90056,0.000229353550496283
"82",35845,90057,0.00116463776987381
"84",28935,90059,0.000940125369543837
"85",20403,90061,0.000662912663376634
"86",25206,90062,0.000818966651623361
"87",40904,90063,0.00132900943894319
"88",20964,90064,0.000681140081116883
"89",37518,90065,0.00121899511368743
"90",48461,90066,0.00157454347791477
"91",2173,90067,0.000070602814170339
"92",19897,90068,0.000646472247375625
"93",19568,90069,0.000635782727880899
"97",6800,90077,0.000220938396851498
"102",5067,90094,0.000164631596595079
"106",73392,90201,0.00238457512084193
"109",17943,90210,0.000582984949221533
"111",6670,90211,0.000216714574558749
"112",10495,90212,0.000340992422787716
"114",37167,90220,0.001207590793497
"116",38258,90221,0.00124303840981538
"117",22976,90222,0.000746511853832355
"118",26885,90230,0.000873518941081253
"121",12681,90232,0.00041201761918733
"122",20590,90240,0.00066898846929005
"124",34682,90241,0.00112685080582407
"125",32673,90242,0.00106157650593073
"126",13469,90245,0.000437620480469533
"127",37246,90247,0.00121015757781337
"128",8388,90248,0.000272534010704465
"129",21504,90249,0.000698685189102149
"130",72714,90250,0.00236254626303821
"132",16531,90254,0.000537107740934134
"133",56280,90255,0.00182859014335328
"135",27168,90260,0.000882713877303161
"136",51506,90262,0.00167347839238724
"138",14840,90265,0.000482165560187681
"139",14840,90264,0.000482165560187681
"141",27774,90266,0.000902403387375515
"142",19474,90270,0.000632728579453834
"143",18317,90272,0.000595136561048366
"144",20390,90274,0.000662490281147359
"146",34435,90275,0.00111882554346784
"147",29066,90277,0.0009443816827773
"148",32232,90278,0.0010472480010761
"149",72155,90280,0.00234438382717939
"150",5190,90290,0.000168627982302834
"151",24348,90291,0.000791089424491216
"153",19623,90292,0.000637569729620139
"156",11163,90293,0.000362696371184305
"157",28356,90301,0.000921313114870746
"161",22731,90302,0.000738551573357559
"164",19540,90303,0.000634872981540922
"165",19763,90304,0.000642118461320022
"166",12924,90305,0.0004199129177807
"171",6680,90401,0.000217039483965883
"172",9714,90402,0.000315616998090507
"174",22116,90403,0.000718569644818783
"175",18803,90404,0.000610927158235105
"177",24794,90405,0.000805580384049417
"180",34208,90501,0.00111145009992589
"181",14163,90502,0.000460169193324671
"182",36682,90503,0.00119183268725098
"185",27072,90504,0.000879594746994669
"186",30134,90505,0.00097908200745927
"189",27248,90601,0.000885313152560237
"190",20491,90602,0.000665771866159418
"192",16641,90603,0.000540681744412614
"193",30931,90604,0.00100497728720789
"194",32291,90605,0.00104916496657819
"196",25891,90606,0.000841222946012078
"198",37082,90620,0.00120482906353636
"201",27480,90621,0.000892851050805759
"202",12897,90623,0.000419035662381436
"203",39537,90630,0.00128459432298789
"205",53481,90631,0.00173764800029632
"206",40705,90638,0.00132254374174121
"209",50624,90640,0.00164482138267797
"210",82337,90650,0.00267520658552379
"214",49376,90660,0.00160427268866758
"216",12230,90670,0.000397364204925562
"218",23575,90680,0.000765973927319715
"219",13742,90701,0.000446490507284306
"221",41625,90703,0.00135243540719759
"222",3017,90704,0.0000980251681324955
"223",58223,90706,0.00189172004115952
"224",58223,90707,0.00189172004115952
"225",22003,90710,0.000714898168518163
"227",25538,90712,0.000829753643940228
"229",22421,90713,0.000728479381736387
"230",16204,90715,0.000526483203320834
"231",10577,90716,0.00034365667992622
"232",17603,90717,0.000571938029378958
"233",17786,90720,0.000577883871529521
"235",40041,90723,0.00130096975710747
"236",48653,90731,0.00158078173853175
"238",16585,90732,0.000538862251732661
"239",21429,90740,0.000696248368548639
"242",41521,90744,0.00134905634936339
"245",46445,90745,0.00150904174143644
"246",22002,90746,0.00071486567757745
"248",8921,90755,0.000289851682104737
"252",33532,90802,0.00108948622400359
"254",27481,90803,0.000892883541746473
"255",32036,90804,0.00104087977669626
"256",70300,90805,0.00228411313215593
"257",32458,90806,0.00105459095367734
"259",27553,90807,0.000895222889477841
"262",31966,90808,0.00103860541084632
"265",27597,90810,0.000896652490869233
"266",42837,90813,0.0013918144273423
"267",16244,90814,0.000527782840949372
"269",33698,90815,0.00109487972016203
"277",30328,91003,0.000985385249957681
"278",30328,91001,0.000985385249957681
"280",26431,91006,0.000858768053997344
"281",28024,91007,0.000910526122553879
"283",1064,91008,0.0000345703609191167
"285",21038,91010,0.000683544410729678
"286",16240,91011,0.000527652877186518
"287",16240,91012,0.000527652877186518
"288",33154,91016,0.00107720464841391
"291",7127,91020,0.000231562934464798
"293",8991,91024,0.000292126047954679
"294",20513,91030,0.000666486666855114
"296",16913,91040,0.000549519280286674
"299",23373,91042,0.000759410757295597
"304",18467,91101,0.000600010202155384
"309",22049,91103,0.000716392751790982
"311",31162,91104,0.0010124826945127
"317",10048,91105,0.000326468972288802
"319",21306,91106,0.000692251982840884
"324",26390,91107,0.000857435925428092
"326",10815,91108,0.000351389523816022
"328",19549,91201,0.000635165400007343
"330",19635,91202,0.0006379596209087
"331",11299,91203,0.000367115139121335
"332",13580,91204,0.000441226974888727
"334",32121,91205,0.00104364150665691
"336",28769,91206,0.000934731873385403
"338",8851,91207,0.000287577316254795
"339",13428,91208,0.000436288351900281
"341",25034,91214,0.000813378209820647
"344",21033,91301,0.000683381956026111
"345",19763,91302,0.000642118461320022
"349",21401,91303,0.000695338622208663
"350",41709,91304,0.00135516464621752
"351",39130,91306,0.00127137051011752
"354",21118,91307,0.000686143685986755
"356",31973,91311,0.00103883284743131
"358",24101,91316,0.000783064162134993
"360",34455,91320,0.00111947536228211
"363",26540,91321,0.000862309566535111
"364",23778,91324,0.000772569588284547
"366",27661,91325,0.000898731911074895
"367",29135,91326,0.000946623557686528
"371",76825,91331,0.00249611652031122
"373",61678,91335,0.00200397624132451
"376",26329,91340,0.000855453978044572
"377",70994,91392,0.00230666184501106
"378",70994,91342,0.00230666184501106
"381",47152,91343,0.00153201283652086
"383",43467,91344,0.00141228371999177
"385",14846,91345,0.000482360505831961
"388",27499,91350,0.000893468378679315
"389",25003,91351,0.00081237099065853
"391",36573,91352,0.00118829117471321
"392",21752,91354,0.000706742942399086
"393",26879,91355,0.000873323995436972
"397",24260,91356,0.000788230221708432
"399",35933,91360,0.0011674969726566
"401",16772,91361,0.000544938057646077
"403",28673,91362,0.000931612743076912
"405",21817,91364,0.00070885485354546
"406",34580,91367,0.00112353672987129
"408",11162,91377,0.000362663880243591
"409",14653,91381,0.000476089754274264
"411",23237,91384,0.000754991989358567
"413",31915,91387,0.00103694837286993
"414",15025,91390,0.00048817638421967
"415",32458,91401,0.00105459095367734
"417",52690,91402,0.00171194766619197
"419",20712,91403,0.000672952364057092
"423",41082,91405,0.00133479282639018
"424",41507,91406,0.0013486014761934
"430",19483,91411,0.000633020997920255
"433",26697,91423,0.000867410644227123
"434",11847,91436,0.000384920174632308
"435",16717,91501,0.000543151055906837
"437",10346,91502,0.000336151272621411
"438",20994,91504,0.000682114809338286
"443",25652,91505,0.000833457611181562
"446",15202,91506,0.000493927280725952
"449",32673,91601,0.00106157650593073
"450",15845,91602,0.000514818955604704
"453",24253,91604,0.000788002785123438
"454",44500,91605,0.00144584686174877
"459",36946,91606,0.00120041029559933
"462",24990,91607,0.000811948608429255
"465",32953,91701,0.0010706739693305
"467",47257,91702,0.00153542438529577
"468",59666,91706,0.00193860446860904
"469",2966,91708,0.0000963681301561092
"470",59141,91709,0.00192154672473448
"471",65566,91710,0.00213030101881843
"472",30320,91711,0.000985125322431973
"473",28155,91722,0.000914782435787342
"474",15276,91723,0.000496331610338747
"475",20338,91724,0.000660800752230259
"476",52722,91730,0.0017129873762948
"480",23423,91731,0.00076103530433127
"481",49314,91732,0.00160225825034335
"482",33383,91733,0.00108464507383729
"483",20471,91737,0.000665122047345149
"484",28340,91739,0.000920793259819331
"485",21267,91740,0.00069098483615306
"486",20485,91741,0.000665576920515137
"488",65631,91744,0.0021324129299648
"489",45045,91745,0.00146355442443761
"494",23044,91746,0.00074872123780087
"495",39997,91748,0.00129954015571608
"496",27642,91750,0.000898114583201339
"497",21856,91752,0.000710122000233285
"498",27592,91754,0.000896490036165666
"500",23641,91755,0.000768118329406803
"504",45919,91761,0.00149195150662117
"505",42649,91762,0.00138570613048817
"506",28792,91763,0.000935479165021813
"507",39873,91764,0.00129551127906761
"508",39540,91765,0.00128469179581003
"509",53257,91766,0.0017303700295765
"510",37716,91767,0.00122542831994869
"511",28075,91768,0.000912183160530265
"514",52320,91770,0.001699926018128
"516",28088,91773,0.00091260554275954
"517",20827,91775,0.000676688822239139
"518",31552,91776,0.00102515416139095
"520",28815,91780,0.000936226456658222
"521",22026,91784,0.000715645460154572
"523",40567,91786,0.00131805999192275
"525",36253,91789,0.0011778940736849
"527",36359,91790,0.00118133811340053
"528",26355,91791,0.000856298742503122
"529",24158,91792,0.00078491614575566
"534",45128,91801,0.00146625117251682
"536",25555,91803,0.000830305989932357
"538",14982,91901,0.000486779273768991
"540",16223,91902,0.00052710053119439
"541",1066,91905,0.0000346353428005436
"542",2962,91906,0.0000962381663932554
"543",60866,91910,0.00197759359746519
"546",64859,91911,0.00210732992373401
"547",31758,91913,0.00103184729517792
"548",12151,91914,0.000394797420609199
