"","pop","ZIP","pop_share"
"1136",11074,93204,0.00604591158468507
"1141",17094,93210,0.0093325639000006
"1156",4694,93234,0.00256271527709154
"1159",1413,93239,0.000771435169691169
"1165",26833,93245,0.0146496248466547
"1166",26833,93246,0.0146496248466547
"1168",1647,93249,0.000899188764671873
"1172",480,93254,0.000262058656370673
"1182",1022,93266,0.000557966555855892
"1227",24091,93408,0.0131526147721373
"1228",24091,93401,0.0131526147721373
"1229",12960,93402,0.00707558372200818
"1230",12960,93412,0.00707558372200818
"1231",32821,93406,0.0179188065848789
"1232",32821,93405,0.0179188065848789
"1233",32821,93403,0.0179188065848789
"1234",32821,93407,0.0179188065848789
"1235",32821,93409,0.0179188065848789
"1236",0,93410,0
"1237",24883,93420,0.0135850115551489
"1238",24883,93421,0.0135850115551489
"1239",25846,93423,0.0141107667344925
"1240",25846,93422,0.0141107667344925
"1241",853,93424,0.000465700070592051
"1242",1344,93426,0.000733764237837885
"1244",5589,93428,0.00305134548011603
"1245",98,93429,0.0000535036423423458
"1246",2512,93430,0.00137144030167319
"1247",2512,93435,0.00137144030167319
"1248",727,93432,0.000396909673294749
"1249",10731,93433,0.00585864883648686
"1250",10731,93483,0.00585864883648686
"1251",4964,93434,0.00271012327130005
"1257",9469,93443,0.00516965295244563
"1258",9469,93442,0.00516965295244563
"1259",15448,93444,0.00843392109086283
"1260",5773,93475,0.00315180129839145
"1261",5773,93445,0.00315180129839145
"1262",34885,93447,0.0190456588072728
"1263",34885,93446,0.0190456588072728
"1264",6454,93448,0.00352359701711734
"1265",6454,93449,0.00352359701711734
"1266",578,93450,0.000315562298713019
"1267",3192,93451,0.00174269006486498
"1268",603,93452,0.000329211187065658
"1269",2751,93453,0.00150192367432442
"1270",28470,93456,0.0155433540559856
"1271",28470,93454,0.0155433540559856
"1272",33650,93455,0.0183714037226524
"1273",33650,93457,0.0183714037226524
"1274",38517,93458,0.0210285693071442
"1276",1264,93461,0.000690087795109439
"1279",7481,93465,0.00408429335064376
"1339",400,93606,0.000218382213642228
"1340",549,93608,0.000299729588223957
"1355",7138,93622,0.00389703060244555
"1357",929,93624,0.000507192691184074
"1360",67,93627,0.0000365790207850731
"1362",12812,93630,0.00699478230296055
"1369",28253,93637,0.0154248817050846
"1372",8494,93640,0.0046373463066927
"1386",4914,93656,0.00268282549459477
"1387",4914,93607,0.00268282549459477
"1389",3005,93660,0.00164059637998724
"1395",906,93668,0.000494635713899646
"1413",28204,93779,0.0153981298839135
"1414",28204,93776,0.0153981298839135
"1415",28204,93771,0.0153981298839135
"1416",28204,93786,0.0153981298839135
"1417",28204,93706,0.0153981298839135
"1418",28204,93773,0.0153981298839135
"1419",28204,93775,0.0153981298839135
"1420",28204,93778,0.0153981298839135
"1421",28204,93774,0.0153981298839135
"1422",28204,93777,0.0153981298839135
"1423",28204,93772,0.0153981298839135
"1444",7193,93723,0.00392705815682136
"1456",20545,93902,0.0112166564481989
"1457",20545,93901,0.0112166564481989
"1458",41593,93915,0.0227079285300529
"1459",41593,93905,0.0227079285300529
"1460",46111,93906,0.0251745556331419
"1461",17401,93912,0.00950017224897101
"1462",17401,93907,0.00950017224897101
"1463",10015,93908,0.00546774467406728
"1464",719,93920,0.000392542029021904
"1465",2627,93921,0.00143422518809533
"1466",11142,93923,0.00608303656100425
"1467",11142,93922,0.00608303656100425
"1468",5121,93924,0.00279583829015462
"1469",1297,93925,0.000708104327734923
"1470",6080,93926,0.00331940964736186
"1471",12062,93927,0.00658531565238138
"1472",297,93928,0.000162148793629354
"1473",11536,93930,0.00629814304144185
"1474",399,93932,0.000217836258108122
"1475",18374,93933,0.0100313869836557
"1476",29031,93940,0.0158496351106188
"1477",29031,93944,0.0158496351106188
"1478",29031,93942,0.0158496351106188
"1479",6,93943,0.00000327573320463342
"1480",13195,93950,0.00720388327252299
"1481",3964,93953,0.00216416773719448
"1482",182,93954,0.0000993639072072136
"1483",25703,93955,0.0140326950931154
"1484",21798,93960,0.0119007387324332
"1485",635,93962,0.000346681764157036
"1804",7369,95012,0.00402314633082394
"1813",38021,95023,0.0207577753622278
"1814",38021,95024,0.0207577753622278
"1826",1191,95039,0.000650233041119733
"1828",547,95043,0.000298637677155746
"1829",3152,95045,0.00172085184350075
"1849",270,95075,0.000147407994208504
"1850",63317,95077,0.0345682665529623
"1851",63317,95076,0.0345682665529623
