Vehicle Technology,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055
SI Conv Car,0,0,0,0,0,0,0,0,0,0
CI Conv Car,-500,0,0,0,0,0,0,0,0,0
NG Conv Car,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
SI HEV Car,3500,0,0,0,0,0,0,0,0,0
CI HEV Car,99999999,0,0,0,0,0,0,0,0,0
NG HEV Car,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
SI P10 Car,99999999,0,0,0,0,0,0,0,0,0
SI P20 Car,99999999,0,0,0,0,0,0,0,0,0
SI P40 Car,99999999,0,0,0,0,0,0,0,0,0
H2 ICE Car,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
FC HEV Car,99999999,0,0,0,0,0,0,0,0,0
FC P10 Car,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
FC P20 Car,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
FC P40 Car,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
EV100 Car,99999999,0,0,0,0,0,0,0,0,0
EV200 Car,99999999,0,0,0,0,0,0,0,0,0
EV300 Car,99999999,0,0,0,0,0,0,0,0,0
EREV10 Car,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
EREV20 Car,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
EREV40 Car,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
SI Conv LTK,-1000,0,0,0,0,0,0,0,0,0
CI Conv LTK,-18000,0,0,0,0,0,0,0,0,0
NG Conv LTK,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
SI HEV LTK,3000,0,0,0,0,0,0,0,0,0
CI HEV LTK,99999999,0,0,0,0,0,0,0,0,0
NG HEV LTK,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
SI P10 LTK,99999999,0,0,0,0,0,0,0,0,0
SI P20 LTK,99999999,0,0,0,0,0,0,0,0,0
SI P40 LTK,99999999,0,0,0,0,0,0,0,0,0
H2 ICE LTK,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
FC HEV LTK,99999999,0,0,0,0,0,0,0,0,0
FC P10 LTK,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
FC P20 LTK,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
FC P40 LTK,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
EV100 LTK,99999999,0,0,0,0,0,0,0,0,0
EV200 LTK,99999999,0,0,0,0,0,0,0,0,0
EV300 LTK,99999999,0,0,0,0,0,0,0,0,0
EREV10 LTK,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
EREV20 LTK,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
EREV40 LTK,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
