Vehicle Technology,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055
SI Conv Car,0.035105092,0.030322691,0.026625808,0.025164389,0.02370297,0.022659658,0.021616345,0.020573033,0.020573033,0.020573033
CI Conv Car,0.028774665,0.025268909,0.022757101,0.02186659,0.02097608,0.02010698,0.01923788,0.01836878,0.01836878,0.01836878
NG Conv Car,,,,,,,,,,
SI HEV Car,0.023015322,0.021035857,0.018721149,0.017960978,0.017200807,0.016603353,0.016005898,0.015408444,0.015408444,0.015408444
CI HEV Car,0.018865018,0.017529881,0.016000982,0.015611468,0.015221953,0.014733815,0.014245677,0.013757539,0.013757539,0.013757539
NG HEV Car,,,,,,,,,,
SI P10 Car,0.023614364,0.02126518,0.019077517,0.018327963,0.017578409,0.016981908,0.016385407,0.015788906,0.015788906,0.015788906
SI P20 Car,0.024122245,0.021372991,0.019133071,0.018319436,0.0175058,0.016907251,0.016308702,0.015710152,0.015710152,0.015710152
SI P40 Car,0.024941688,0.022380671,0.020559214,0.020543307,0.0205274,0.020030068,0.019532735,0.019035402,0.019035402,0.019035402
H2 ICE Car,,,,,,,,,,
FC HEV Car,0.017396237,0.016270652,0.014799414,0.014031997,0.013264579,0.013048145,0.01283171,0.012615275,0.012615275,0.012615275
FC P10 Car,0.018267359,0.016546928,0.015150053,0.014334343,0.013518633,0.013305622,0.013092611,0.0128796,0.0128796,0.0128796
FC P20 Car,0.018267359,0.016546928,0.015150053,0.014334343,0.013518633,0.013305622,0.013092611,0.0128796,0.0128796,0.0128796
FC P40 Car,0.018267359,0.016546928,0.015150053,0.014334343,0.013518633,0.013305622,0.013092611,0.0128796,0.0128796,0.0128796
EV100 Car,,,,,,,,,,
EV200 Car,,,,,,,,,,
EV300 Car,,,,,,,,,,
EREV10 Car,,,,,,,,,,
EREV20 Car,,,,,,,,,,
EREV40 Car,,,,,,,,,,
SI Conv LTK,0.040944717,0.037189099,0.033709906,0.03261229,0.031514675,0.030446566,0.029378457,0.028310348,0.028310348,0.028310348
CI Conv LTK,0.033561243,0.030990915,0.028811885,0.028350489,0.027889093,0.027018427,0.026147762,0.025277097,0.025277097,0.025277097
NG Conv LTK,,,,,,,,,,
SI HEV LTK,0.02910486,0.027217973,0.024280943,0.02442822,0.024575496,0.023789936,0.023004375,0.022218814,0.022218814,0.022218814
CI HEV LTK,0.023856443,0.022681645,0.020752942,0.021250585,0.021748227,0.02111156,0.020474894,0.019838227,0.019838227,0.019838227
NG HEV LTK,,,,,,,,,,
SI P10 LTK,0.029840061,0.027339192,0.024575225,0.024701779,0.024828333,0.024043253,0.023258173,0.022473093,0.022473093,0.022473093
SI P20 LTK,0.030628984,0.027592907,0.024659671,0.024761961,0.024864252,0.024073639,0.023283026,0.022492412,0.022492412,0.022492412
SI P40 LTK,0.032855908,0.029489284,0.026704225,0.028222478,0.02974073,0.02911728,0.02849383,0.02787038,0.02787038,0.02787038
H2 ICE LTK,,,,,,,,,,
FC HEV LTK,0.023305515,0.02201559,0.019714204,0.019790496,0.019866787,0.019580075,0.019293362,0.01900665,0.01900665,0.01900665
FC P10 LTK,0.024562836,0.022345161,0.020046602,0.020080921,0.020115239,0.01982816,0.019541081,0.019254002,0.019254002,0.019254002
FC P20 LTK,0.024562836,0.022345161,0.020046602,0.020080921,0.020115239,0.01982816,0.019541081,0.019254002,0.019254002,0.019254002
FC P40 LTK,0.024562836,0.022345161,0.020046602,0.020080921,0.020115239,0.01982816,0.019541081,0.019254002,0.019254002,0.019254002
EV100 LTK,,,,,,,,,,
EV200 LTK,,,,,,,,,,
EV300 LTK,,,,,,,,,,
EREV10 LTK,,,,,,,,,,
EREV20 LTK,,,,,,,,,,
EREV40 LTK,,,,,,,,,,
