Vehicle Technology,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055
SI Conv Car,,,,,,,,,,
CI Conv Car,,,,,,,,,,
NG Conv Car,,,,,,,,,,
SI HEV Car,,,,,,,,,,
CI HEV Car,,,,,,,,,,
NG HEV Car,,,,,,,,,,
SI P10 Car,0.003479678,0.002532933,0.002195965,0.001859261,0.001522558,0.00143879,0.001355023,0.001271256,0.001271256,0.001271256
SI P20 Car,0.003593028,0.003072645,0.001942851,0.001736091,0.001529332,0.001434143,0.001338954,0.001243765,0.001243765,0.001243765
SI P40 Car,0,0,0,0,0,0,0,0,0,0
H2 ICE Car,,,,,,,,,,
FC HEV Car,,,,,,,,,,
FC P10 Car,,,,,,,,,,
FC P20 Car,0.002763479,0.002395888,0.001538164,0.001373253,0.001208341,0.00115679,0.001105238,0.001053687,0.001053687,0.001053687
FC P40 Car,,,,,,,,,,
EV100 Car,,,,,,,,,,
EV200 Car,,,,,,,,,,
EV300 Car,,,,,,,,,,
EREV10 Car,,,,,,,,,,
EREV20 Car,,,,,,,,,,
EREV40 Car,,,,,,,,,,
SI Conv LTK,,,,,,,,,,
CI Conv LTK,,,,,,,,,,
NG Conv LTK,,,,,,,,,,
SI HEV LTK,,,,,,,,,,
CI HEV LTK,,,,,,,,,,
NG HEV LTK,,,,,,,,,,
SI P10 LTK,0.00518546,0.004691917,0.005235634,0.005908272,0.00658091,0.00634841,0.006115911,0.005883411,0.005883411,0.005883411
SI P20 LTK,0.004762669,0.004666034,0.003914746,0.003876582,0.003838419,0.003986464,0.004134509,0.004282554,0.004282554,0.004282554
SI P40 LTK,0,0,0,0,0,0,0,0,0,0
H2 ICE LTK,,,,,,,,,,
FC HEV LTK,,,,,,,,,,
FC P10 LTK,,,,,,,,,,
FC P20 LTK,0.003856485,0.003802686,0.003204205,0.003165848,0.00312749,0.003306422,0.003485353,0.003664284,0.003664284,0.003664284
FC P40 LTK,,,,,,,,,,
EV100 LTK,,,,,,,,,,
EV200 LTK,,,,,,,,,,
EV300 LTK,,,,,,,,,,
EREV10 LTK,,,,,,,,,,
EREV20 LTK,,,,,,,,,,
EREV40 LTK,,,,,,,,,,
