Vehicle Technology,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055
SI Conv Car,,,,,,,,,,
CI Conv Car,,,,,,,,,,
NG Conv Car,,,,,,,,,,
SI HEV Car,,,,,,,,,,
CI HEV Car,,,,,,,,,,
NG HEV Car,,,,,,,,,,
SI P10 Car,0.2173785,0.2146415,0.2066155,0.203921,0.2012265,0.200183,0.1991395,0.198096,0.198096,0.198096
SI P20 Car,0.219364,0.207161,0.2048755,0.20086925,0.196863,0.196899167,0.196935333,0.1969715,0.1969715,0.1969715
SI P40 Car,0.2504595,0.2307495,0.223519,0.22070075,0.2178825,0.2156495,0.2134165,0.2111835,0.2111835,0.2111835
H2 ICE Car,,,,,,,,,,
FC HEV Car,,,,,,,,,,
FC P10 Car,,,,,,,,,,
FC P20 Car,0.260239477,0.235490105,0.231536484,0.224866835,0.218197187,0.216196795,0.214196404,0.212196012,0.212196012,0.212196012
FC P40 Car,,,,,,,,,,
EV100 Car,0.283661782,0.242219971,0.231085761,0.222515674,0.213945588,0.212423607,0.210901626,0.209379645,0.209379645,0.209379645
EV200 Car,0.287987031,0.259029783,0.24381075,0.231578695,0.219346639,0.21763849,0.21593034,0.214222191,0.214222191,0.214222191
EV300 Car,0.29231228,0.275839594,0.25653574,0.240641715,0.22474769,0.222853372,0.220959054,0.219064736,0.219064736,0.219064736
EREV10 Car,,,,,,,,,,
EREV20 Car,,,,,,,,,,
EREV40 Car,,,,,,,,,,
SI Conv LTK,,,,,,,,,,
CI Conv LTK,,,,,,,,,,
NG Conv LTK,,,,,,,,,,
SI HEV LTK,,,,,,,,,,
CI HEV LTK,,,,,,,,,,
NG HEV LTK,,,,,,,,,,
SI P10 LTK,0.2820215,0.272654,0.2403215,0.238571,0.2368205,0.236456833,0.236093167,0.2357295,0.2357295,0.2357295
SI P20 LTK,0.2942365,0.2734375,0.2588185,0.268738,0.2786575,0.273076333,0.267495167,0.261914,0.261914,0.261914
SI P40 LTK,0.332695,0.3092805,0.294864,0.3078515,0.320839,0.319095833,0.317352667,0.3156095,0.3156095,0.3156095
H2 ICE LTK,,,,,,,,,,
FC HEV LTK,,,,,,,,,,
FC P10 LTK,,,,,,,,,,
FC P20 LTK,0.35413275,0.319736374,0.298903675,0.306052672,0.313201668,0.305572223,0.297942779,0.290313334,0.290313334,0.290313334
FC P40 LTK,,,,,,,,,,
EV100 LTK,0.377640345,0.323249295,0.302261639,0.30995622,0.3176508,0.316129661,0.314608522,0.313087383,0.313087383,0.313087383
EV200 LTK,0.377531262,0.345822984,0.319354862,0.322459017,0.325563172,0.323763887,0.321964603,0.320165318,0.320165318,0.320165318
EV300 LTK,0.37742218,0.368396674,0.336448086,0.334961815,0.333475544,0.331398114,0.329320684,0.327243254,0.327243254,0.327243254
EREV10 LTK,,,,,,,,,,
EREV20 LTK,,,,,,,,,,
EREV40 LTK,,,,,,,,,,
