Vehicle Technology,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
SI Conv Car,-497.2593391,-500.2283326,-502.8039787,-504.0082422,-502.2033553,-500.0499592,-492.8484229,-486.6181998,-485.7397801,-490.7176024,-494.8210138,-500.1874119,-503.6140051,-505.2768269,-505.512305,-505.3627396,-504.2056895,-502.3841358,-499.4606829,-497.2581078,-495.9186121,-495.9055765,-496.4289183,-497.253578,-498.2422914,-499.1456947,-499.5842769,-499.1846692,-497.9896447,-496.1422617,-493.7376527,-490.6546928,-487.3256046,-483.823463,-480.0227374,-475.7668514,-470.9494122,-465.6713552,-459.7832896,-453.1892724,-445.9228517,-438.0182347,-430.6218113,-424.1094884,-418.8760981,-415.3223945
CI Conv Car,5974.917628,5636.648444,5615.532064,5774.452605,5951.57612,6050.628637,6330.594967,6422.055399,5923.820779,5507.081388,5248.195041,5187.270797,5073.311473,5175.869748,5338.866668,5527.323481,5729.357,5902.520205,6070.652318,6220.568315,6348.04215,6447.971377,6527.571696,6590.683506,6641.296388,6681.376019,6713.521404,6738.195651,6754.80526,6765.367267,6767.456532,6762.350759,6752.274783,6738.541048,6719.394318,6698.031364,6673.591095,6646.898305,6618.381267,6588.240852,6556.47498,6522.902322,6492.95754,6467.034233,6445.573926,6429.00115
NG Conv Car,7506.298363,7474.459368,7474.459368,7474.459368,7474.459368,7474.459368,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363
SI HEV Car,4728.866865,4376.059456,4234.357771,3914.143741,3631.248445,3390.692785,3271.859962,3117.689711,2920.486285,2677.770071,2186.657274,1715.625718,1347.383783,1104.396422,887.5934927,753.101905,661.2352368,581.374629,508.7634745,464.7306628,447.2676907,447.7879539,453.5418725,465.8957878,484.7334141,509.6062712,543.5759767,570.549963,586.069427,592.7495974,584.9531121,559.9979972,531.8198519,500.2089764,461.9719022,421.2836078,381.0222943,341.0646465,302.1803736,264.8061645,229.1007414,195.0441976,167.4340863,145.7015292,129.3497115,117.890099
CI HEV Car,7506.298363,7474.459368,7474.459368,7474.459368,7474.459368,7474.459368,7506.298363,7506.298363,7506.298363,7441.296469,7389.879949,7324.09386,7232.830515,7093.832568,7005.797429,6904.966605,6810.334667,6729.587967,6681.313863,6630.06868,6574.153899,6513.063719,6445.45522,6371.893725,6290.797606,6202.274177,6108.13634,6017.108947,5927.306603,5847.89564,5774.337591,5708.774566,5646.221208,5587.637685,5526.739824,5468.645104,5413.135993,5358.848452,5306.079565,5254.696428,5204.495094,5154.928881,5108.657168,5065.246655,5024.213837,4984.899419
NG HEV Car,7506.298363,7474.459368,7474.459368,7474.459368,7474.459368,7474.459368,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363
SI P10 Car,7506.298363,7474.459368,7474.459368,7474.459368,7474.459368,7474.459368,7506.298363,7506.298363,7349.918926,7023.630986,6624.561018,6179.869397,5601.27511,5243.600422,4905.74739,4558.500929,4193.597949,3901.266614,3578.637501,3283.606028,3015.981226,2771.343755,2533.38985,2306.508589,2093.258654,1896.477363,1721.217339,1552.609844,1389.496844,1244.93647,1110.767281,982.699397,868.4181981,766.7237941,670.5338686,583.2250616,506.5086413,438.0274544,377.3176205,323.6225938,276.2115121,234.2632853,202.7989658,180.4848432,166.1970305,159.0309332
SI P20 Car,7506.298363,7474.459368,7474.459368,7474.459368,7474.459368,7474.459368,7506.298363,7506.298363,7396.967785,7073.268189,6890.719155,6669.197045,6329.566488,6244.213035,6243.628504,6124.809694,5971.693444,5910.438687,5714.236066,5539.659062,5386.144457,5261.507937,5130.44048,4991.666834,4851.824154,4709.838635,4568.307762,4421.558273,4265.37825,4118.718709,3971.488721,3818.114047,3660.413448,3497.109794,3317.305667,3126.40024,2928.069846,2719.885295,2503.294408,2279.976354,2052.757107,1825.121146,1612.859689,1418.951624,1245.708508,1094.844131
SI P40 Car,7506.298363,7474.459368,7474.459368,7474.459368,7474.459368,7474.459368,7506.298363,7349.918926,6845.040236,6392.445253,5654.604609,5074.526077,4674.19898,4783.127511,4908.642245,5271.502849,5772.310479,6503.051546,6419.212439,6360.191314,6343.340496,6371.616562,6353.447335,6280.287483,6201.220672,6114.380661,6019.859688,5921.159994,5817.724738,5730.642993,5652.989588,5582.069425,5514.307728,5449.723888,5376.507828,5300.406126,5225.022478,5147.184458,5067.274181,4984.992437,4900.509772,4813.715928,4734.651522,4663.544188,4600.534667,4546.128533
H2 ICE Car,7506.298363,7474.459368,7474.459368,7474.459368,7474.459368,7474.459368,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363,7506.298363
