"","county","ZIP","X","pop","pop_share","cars","sum_pop","carsperzip"
"1","alameda",94544,1636,60085,0.00195221817276798,1044563,1256529,49949
"2","alameda",94545,1637,24684,0.000802006380570937,1044563,1256529,20520
"3","alameda",94546,1638,34906,0.00113412877654388,1044563,1256529,29018
"4","alameda",94610,1703,25939,0.000842782511166324,1044563,1256529,21563
"5","alameda",94709,1725,11275,0.000366335356544212,1044563,1256529,9373
"6","alameda",94551,1643,31206,0.00101391229590409,1044563,1256529,25942
"7","alameda",94502,1595,10797,0.00035080468688318,1044563,1256529,8976
"8","alameda",94603,1692,24062,0.000781797015447168,1044563,1256529,20003
"9","alameda",94541,1631,48728,0.00158321855908526,1044563,1256529,40508
"10","alameda",94611,1705,30930,0.00100494479626718,1044563,1256529,25712
"11","alameda",94612,1708,13482,0.000438042862698808,1044563,1256529,11208
"12","alameda",94501,1594,51240,0.00166483580215746,1044563,1256529,42596
"13","alameda",94705,1721,11255,0.000365685537729942,1044563,1256529,9356
"14","alameda",94706,1722,15445,0.000501822579319321,1044563,1256529,12840
"15","alameda",94602,1690,24312,0.000789919750625532,1044563,1256529,20211
"16","alameda",94577,1669,37134,0.00120651859245346,1044563,1256529,30870
"17","alameda",94542,1633,10682,0.000347068228701132,1044563,1256529,8880
"18","alameda",94555,1646,26779,0.000870074901365627,1044563,1256529,22262
"19","alameda",94710,1726,5462,0.000177465518176894,1044563,1256529,4541
"20","alameda",94702,1716,14246,0.000462865941403888,1044563,1256529,11843
"21","alameda",94703,1717,17905,0.000581750293474422,1044563,1256529,14885
"22","alameda",94605,1693,33574,0.00109085084351356,1044563,1256529,27910
"23","alameda",94601,1689,38830,0.00126162322790348,1044563,1256529,32280
"24","alameda",94707,1723,10179,0.000330725285522264,1044563,1256529,8462
"25","alameda",94538,1629,51028,0.00165794772272621,1044563,1256529,42420
"26","alameda",94609,1702,19648,0.000638382003137975,1044563,1256529,16334
"27","alameda",94606,1694,30971,0.00100627692483643,1044563,1256529,25746
"28","alameda",94539,1630,39786,0.00129268456722554,1044563,1256529,33074
"29","alameda",94580,1672,23247,0.000755316898765702,1044563,1256529,19325
"30","alameda",94560,1652,35111,0.00114078941939014,1044563,1256529,29188
"31","alameda",94704,1719,25592,0.000831508154738755,1044563,1256529,21275
"32","alameda",94621,1715,22613,0.000734717642353371,1044563,1256529,18798
"33","alameda",94552,1644,12073,0.000392263127233549,1044563,1256529,10036
