"","pop","ZIP","pop_share"
"1486",21525,94002,0.00275733845935683
"1487",3745,94005,0.000479732057156392
"1488",33058,94011,0.00423470823644219
"1489",33058,94010,0.00423470823644219
"1490",39544,94016,0.00506556060565884
"1491",39544,94014,0.00506556060565884
"1492",53267,94017,0.00682346795421883
"1493",53267,94015,0.00682346795421883
"1494",15094,94018,0.00193353155426397
"1495",15094,94019,0.00193353155426397
"1496",1304,94020,0.000167041549407726
"1497",146,94021,0.0000187025047649755
"1498",15355,94022,0.00196696548401506
"1499",15355,94023,0.00196696548401506
"1500",17625,94024,0.00225775100330612
"1501",31702,94026,0.00406100552095379
"1502",31702,94025,0.00406100552095379
"1503",5910,94027,0.000757067144938391
"1504",5585,94028,0.000715434856934165
"1505",18323,94030,0.00234716434800442
"1506",2324,94037,0.000297702884067144
"1507",2551,94038,0.00032678143599625
"1508",26758,94040,0.00342768234589873
"1509",11288,94041,0.00144598543689756
"1510",11288,94042,0.00144598543689756
"1511",24301,94039,0.00311294224858678
"1512",24301,94043,0.00311294224858678
"1513",24301,94035,0.00311294224858678
"1514",31264,94044,0.00400489800665886
"1515",1267,94060,0.00016230187354263
"1516",29516,94061,0.00378098034686998
"1517",21708,94062,0.0027807806399869
"1518",23859,94063,0.00305632233690103
"1519",23859,94064,0.00305632233690103
"1520",9069,94065,0.00116173298433947
"1521",34691,94066,0.00444389447124496
"1522",23474,94070,0.00300700408803448
"1523",285,94074,0.0000365083140960138
"1524",53859,94080,0.00689930276806037
"1525",53859,94083,0.00689930276806037
"1526",18299,94088,0.0023440899636595
"1527",18299,94085,0.0023440899636595
"1528",37492,94086,0.00480270074416754
"1529",43127,94087,0.00552454056848697
"1530",16976,94089,0.00217461452664537
"1531",26181,94125,0.00335376902227276
"1532",26181,94102,0.00335376902227276
"1533",22233,94142,0.00284803279753219
"1534",22233,94103,0.00284803279753219
"1535",22233,94141,0.00284803279753219
"1536",223,94163,0.0000285661545382845
"1537",223,94139,0.0000285661545382845
"1538",223,94145,0.0000285661545382845
"1539",223,94104,0.0000285661545382845
"1540",223,94137,0.0000285661545382845
"1541",223,94120,0.0000285661545382845
"1542",5960,94105,0.000763472112323657
"1543",5960,94119,0.000763472112323657
"1544",5960,94177,0.000763472112323657
"1545",5960,94151,0.000763472112323657
"1546",24489,94107,0.00313702492595537
"1547",12967,94108,0.00166106424169477
"1548",52314,94140,0.00670138927585567
"1549",52314,94109,0.00670138927585567
"1550",52314,94164,0.00670138927585567
"1551",62194,94110,0.00796701083118415
"1552",3253,94126,0.000416707178085378
"1553",3253,94161,0.000416707178085378
"1554",3253,94111,0.000416707178085378
"1555",70345,94112,0.00901114861433014
"1556",29278,94114,0.00375049270211611
"1557",29278,94146,0.00375049270211611
"1558",31021,94115,0.00397376986516647
"1559",39388,94116,0.00504557710741681
"1560",39311,94117,0.0050357134576435
"1561",34417,94144,0.00440879524997371
"1562",34417,94118,0.00440879524997371
"1563",34417,94159,0.00440879524997371
"1564",36569,94121,0.00468446504623554
"1565",51182,94122,0.00655638081425326
"1566",51182,94172,0.00655638081425326
"1567",22816,94147,0.00292271471724439
"1568",22816,94123,0.00292271471724439
"1569",27083,94188,0.00346931463390295
"1570",27083,94160,0.00346931463390295
"1571",27083,94124,0.00346931463390295
"1572",16038,94127,0.00205445733849779
"1573",42,94128,0.00000538017260362309
"1574",2525,94129,0.000323450852955912
"1575",2677,94130,0.000342921953807119
"1576",24887,94143,0.00318800846634209
"1577",24887,94131,0.00318800846634209
"1578",27958,94132,0.0035814015631451
"1579",25319,94133,0.00324334738455078
"1580",33452,94134,0.00428517937943808
"1581",5204,94158,0.000666629005458441
"1582",13899,94301,0.00178045283375613
"1583",35498,94303,0.00454727064484315
"1584",35498,94302,0.00454727064484315
"1585",3098,94304,0.000396851779191055
"1586",12609,94309,0.00161520467521627
"1587",12609,94305,0.00161520467521627
"1588",21665,94306,0.00277527236803557
"1589",30384,94401,0.00389217058067819
"1590",19349,94402,0.00247859427875007
"1591",32763,94403,0.00419691892886912
"1592",32763,94497,0.00419691892886912
"1593",28548,94404,0.00365698017829123
"1594",51240,94501,0.00656381057642016
"1595",10797,94502,0.00138308865717425
"1598",16725,94506,0.00214246159037134
"1599",12408,94507,0.00158945670632751
"1608",139,94516,0.0000178058093310383
"1609",10410,94517,0.00133351420961229
"1610",21845,94518,0.00279833025062253
"1611",16359,94519,0.00209557722911119
"1612",29485,94520,0.00377700926709111
"1613",29485,94524,0.00377700926709111
"1614",29485,94522,0.00377700926709111
"1615",29485,94529,0.00377700926709111
"1616",29485,94527,0.00377700926709111
"1617",33237,94521,0.00425763801968144
"1618",28707,94523,0.00367734797457638
"1620",24902,94526,0.00318992995655767
"1621",678,94528,0.0000868513577442012
"1622",20661,94530,0.00264666062293944
"1627",55727,94537,0.0071385923495739
"1628",55727,94536,0.0071385923495739
"1629",51028,94538,0.00653665351470664
"1630",39786,94539,0.00509656064780353
"1631",48728,94541,0.00624202501498442
"1632",48728,94543,0.00624202501498442
"1633",10682,94542,0.00136835723218814
"1634",60085,94540,0.00769684930687364
"1635",60085,94557,0.00769684930687364
"1636",60085,94544,0.00769684930687364
"1637",24684,94545,0.00316200429875791
"1638",34906,94546,0.00447143583100161
"1639",19676,94547,0.00252048276544971
"1641",22384,94549,0.00286737579903569
"1643",31206,94551,0.00399746824449195
"1644",12073,94552,0.00154654342484623
"1645",40581,94553,0.00519839962922925
"1646",26779,94555,0.00343037243220054
"1647",12491,94556,0.00160008895218705
"1648",12491,94570,0.00160008895218705
"1652",35111,94560,0.00449769619728119
"1654",14305,94563,0.00183246116892448
"1655",15425,94564,0.00197593243835443
"1656",66460,94565,0.00851348264849501
"1657",33299,94566,0.00426558017923917
"1659",38372,94568,0.00491542817014821
"1666",1274,94575,0.000163198568976567
"1668",37134,94622,0.00475684117768904
"1669",37134,94577,0.00475684117768904
"1670",30346,94578,0.00388730280546538
"1671",18392,94579,0.00235600320299609
"1672",23247,94580,0.00297792553610538
"1673",27749,94582,0.00355462879947469
"1674",27160,94583,0.00347917828367626
"1676",885,94586,0.000113367922719201
"1677",57153,94587,0.00732126201940167
"1678",24078,94588,0.00308437609404849
"1683",14855,94595,0.0019029158101624
"1684",17353,94596,0.00222290798073027
"1685",17845,94597,0.00228593285980128
"1686",21858,94598,0.0027999955421427
"1688",38830,94620,0.00497409767139725
"1689",38830,94601,0.00497409767139725
"1690",24312,94602,0.00311435134141153
"1691",24062,94624,0.00308232650448521
"1692",24062,94603,0.00308232650448521
"1693",33574,94605,0.00430080749985813
"1694",30971,94606,0.0039673648977812
"1695",20483,94607,0.0026238589390479
"1696",20483,94617,0.0026238589390479
"1697",20483,94615,0.0026238589390479
"1698",20483,94660,0.0026238589390479
"1699",20483,94623,0.0026238589390479
"1700",23092,94662,0.00295807013721105
"1701",23092,94608,0.00295807013721105
"1702",19648,94609,0.00251689598371396
"1703",25939,94610,0.00332276898012808
"1704",30930,94661,0.00396211282452529
"1705",30930,94611,0.00396211282452529
"1706",13482,94604,0.00172703540576301
"1707",13482,94659,0.00172703540576301
"1708",13482,94612,0.00172703540576301
"1709",13482,94666,0.00172703540576301
"1710",13482,94649,0.00172703540576301
"1711",836,94613,0.00010709105468164
"1712",14226,94618,0.00182234132045576
