Vehicle Technology,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055
SI Conv Car,17,17,17,17,17,17,17,17,17,17
CI Conv Car,17,17,17,17,17,17,17,17,17,17
NG Conv Car,,,,,,,,,,
SI HEV Car,13,13,13,13,13,13,13,13,13,13
CI HEV Car,13,13,13,13,13,13,13,13,13,13
NG HEV Car,,,,,,,,,,
SI P10 Car,13,13,13,13,13,13,13,13,13,13
SI P20 Car,13,13,13,13,13,13,13,13,13,13
SI P40 Car,13,13,13,13,13,13,13,13,13,13
H2 ICE Car,,,,,,,,,,
FC HEV Car,6.3931,6.3931,6.3931,6.3931,6.3931,6.3931,6.3931,6.3931,6.3931,6.3931
FC P10 Car,,,,,,,,,,
FC P20 Car,6.7414,6.7414,6.7414,6.7414,6.7414,6.7414,6.7414,6.7414,6.7414,6.7414
FC P40 Car,,,,,,,,,,
EV100 Car,,,,,,,,,,
EV200 Car,,,,,,,,,,
EV300 Car,,,,,,,,,,
EREV10 Car,,,,,,,,,,
EREV20 Car,,,,,,,,,,
EREV40 Car,,,,,,,,,,
SI Conv LTK,22,22,22,22,22,22,22,22,22,22
CI Conv LTK,22,22,22,22,22,22,22,22,22,22
NG Conv LTK,,,,,,,,,,
SI HEV LTK,17,17,17,17,17,17,17,17,17,17
CI HEV LTK,17,17,17,17,17,17,17,17,17,17
NG HEV LTK,,,,,,,,,,
SI P10 LTK,17,17,17,17,17,17,17,17,17,17
SI P20 LTK,17,17,17,17,17,17,17,17,17,17
SI P40 LTK,17,17,17,17,17,17,17,17,17,17
H2 ICE LTK,,,,,,,,,,
FC HEV LTK,8.4672,8.4672,8.4672,8.4672,8.4672,8.4672,8.4672,8.4672,8.4672,8.4672
FC P10 LTK,,,,,,,,,,
FC P20 LTK,8.9687,8.9687,8.9687,8.9687,8.9687,8.9687,8.9687,8.9687,8.9687,8.9687
FC P40 LTK,,,,,,,,,,
EV100 LTK,,,,,,,,,,
EV200 LTK,,,,,,,,,,
EV300 LTK,,,,,,,,,,
EREV10 LTK,,,,,,,,,,
EREV20 LTK,,,,,,,,,,
EREV40 LTK,,,,,,,,,,
