Vehicle Technology,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
SI Conv Car,19214.47928,18640.92375,18238.6229,19163.54578,18879.52266,18279.22207,18339.75174,18824.92843,19310.10512,19795.28181,20280.4585,20765.63519,20873.60112,20981.56705,21089.53299,21004.17755,20918.82212,20833.46668,20748.11125,20662.75581,20577.40038,20492.04494,20406.68951,20321.33407,20235.97864,20310.04384,20384.10905,20458.17425,20532.23946,20606.30466,20680.36986,20754.43507,20828.50027,20902.56548,20976.63068,21050.69588,21124.76109,21198.82629,21272.8915,21346.9567,21346.9567,21346.9567,21346.9567,21346.9567,21346.9567
CI Conv Car,21220,21306,20527,20609,20967,20633,19875,20677.92595,21480.8519,22283.77785,23086.7038,23889.62975,23971.86798,24054.1062,24136.34443,24017.48896,23898.63348,23779.77801,23660.92254,23542.06707,23423.2116,23304.35613,23185.50066,23066.64519,22947.78971,22932.26328,22916.73684,22901.21041,22885.68398,22870.15754,22854.63111,22839.10467,22823.57824,22808.0518,22792.52537,22776.99893,22761.4725,22745.94606,22730.41963,22714.89319,22714.89319,22714.89319,22714.89319,22714.89319,22714.89319
NG Conv Car,36870.35127,35928.59236,34175.32854,34415.41677,34320.84347,33803.02637,34049.66334,34609.31525,35168.96717,35728.61908,36288.271,36847.92291,36105.03128,35362.13965,34619.24802,33919.79374,33220.33946,32520.88518,31821.43091,31121.97663,30422.52235,29723.06807,29023.6138,28324.15952,27624.70524,27791.86436,27959.02348,28126.18259,28293.34171,28460.50083,28627.65994,28794.81906,28961.97818,29129.1373,29296.29641,29463.45553,29630.61465,29797.77376,29964.93288,30132.092,30132.092,30132.092,30132.092,30132.092,30132.092
SI HEV Car,22752.08337,22204.28505,20027.00669,21686.53213,21483.6935,20301.90764,21029.10384,22078.79571,23128.48758,24178.17945,25227.87132,26277.56318,26175.08129,26072.5994,25970.11751,25940.34131,25910.56512,25880.78892,25851.01273,25821.23653,25791.46034,25761.68414,25731.90795,25702.13175,25672.35556,25593.84758,25515.33961,25436.83163,25358.32365,25279.81568,25201.3077,25122.79973,25044.29175,24965.78378,24887.2758,24808.76783,24730.25985,24651.75187,24573.2439,24494.73592,24494.73592,24494.73592,24494.73592,24494.73592,24494.73592
CI HEV Car,30733.72692,30691.2326,30681.52115,30680.87033,30680.83146,30680.82883,30680.8287,30515.32201,30349.81531,30184.30862,29959.85878,29735.40894,29510.9591,29286.50926,29062.05942,28842.22937,28622.39931,28402.56925,28182.7392,27962.90914,27743.07909,27523.24903,27303.41897,27083.58892,26863.75886,26808.00005,26752.24123,26696.48242,26640.72361,26584.96479,26529.20598,26473.44716,26417.68835,26361.92954,26306.17072,26250.41191,26194.6531,26138.89428,26083.13547,26027.37665,26027.37665,26027.37665,26027.37665,26027.37665,26027.37665
NG HEV Car,33361.35243,33309.81903,33298.14474,33297.36699,33297.31994,33297.31677,33297.31662,32900.45502,32503.59342,32106.73182,31640.46268,31174.19354,30707.92441,30241.65527,29775.38614,29378.15589,28980.92564,28583.69539,28186.46515,27789.2349,27392.00465,26994.7744,26597.54416,26200.31391,25803.08366,25869.572,25936.06033,26002.54867,26069.03701,26135.52534,26202.01368,26268.50202,26334.99036,26401.47869,26467.96703,26534.45537,26600.9437,26667.43204,26733.92038,26800.40871,26800.40871,26800.40871,26800.40871,26800.40871,26800.40871
SI P10 Car,31794.82746,31357.20186,31179.47228,31152.24298,31148.57436,31148.00389,31147.93493,30969.00026,30790.07259,30611.14493,30095.37251,29579.60009,29063.82768,28548.05526,28032.28284,27896.41666,27760.55048,27624.68431,27488.81813,27352.95195,27217.08578,27081.2196,26945.35343,26809.48725,26673.62107,26572.21517,26470.80927,26369.40337,26267.99747,26166.59157,26065.18567,25963.77977,25862.37387,25760.96797,25659.56207,25558.15617,25456.75027,25355.34437,25253.93846,25152.53256,25152.53256,25152.53256,25152.53256,25152.53256,25152.53256
SI P20 Car,37824.06739,36677.48716,36077.82218,35945.81193,35919.73496,35913.851,35912.77515,35537.78047,35162.96786,34788.15716,33895.10811,33002.05907,32109.01002,31215.96097,30322.91192,30073.27398,29823.63603,29573.99808,29324.36014,29074.72219,28825.08425,28575.4463,28325.80836,28076.17041,27826.53247,27703.70478,27580.8771,27458.04941,27335.22173,27212.39405,27089.56636,26966.73868,26843.911,26721.08331,26598.25563,26475.42795,26352.60026,26229.77258,26106.9449,25984.11721,25984.11721,25984.11721,25984.11721,25984.11721,25984.11721
SI P40 Car,41767.20328,39416.76067,37744.618,37182.85523,37016.64738,35827.17582,34224.28022,34858.20783,35496.19005,36134.29307,36772.39677,37410.50046,35935.55275,34460.60504,32985.65732,32608.60157,32231.54582,31854.49006,31477.43431,31100.37856,30723.3228,30346.26705,29969.2113,29592.15554,29215.09979,29083.8731,28952.6464,28821.41971,28690.19302,28558.96633,28427.73963,28296.51294,28165.28625,28034.05955,27902.83286,27771.60617,27640.37947,27509.15278,27377.92609,27246.6994,27246.6994,27246.6994,27246.6994,27246.6994,27246.6994
H2 ICE Car,49129.77383,50198.52558,50948.16485,50705.85861,52716.27786,52775.60268,51603.54978,49640.21822,47676.88666,45713.5551,44856.63645,43999.7178,43845.68603,43691.65426,43537.6225,43743.82185,43950.02121,44156.22056,44362.41991,44568.61927,44774.81862,44981.01798,45187.21733,45393.41668,45599.61604,45483.87554,45368.13505,45252.39455,45136.65406,45020.91356,44905.17307,44789.43258,44673.69208,44557.95159,44442.21109,44326.4706,44210.7301,44094.98961,43979.24911,43863.50862,43863.50862,43863.50862,43863.50862,43863.50862,43863.50862
FC HEV Car,37145.412,36689.57228,36407.16304,36328.62695,36309.22069,36303.68104,36302.31265,35573.14846,34844.2548,34115.36265,33252.67469,32389.98674,31527.29878,30664.61082,29801.92287,29585.38282,29368.84276,29152.30271,28935.76266,28719.22261,28502.68255,28286.1425,28069.60245,27853.0624,27636.52234,27560.85391,27485.18547,27409.51704,27333.8486,27258.18017,27182.51173,27106.8433,27031.17486,26955.50643,26879.83799,26804.16956,26728.50112,26652.83268,26577.16425,26501.49581,26501.49581,26501.49581,26501.49581,26501.49581,26501.49581
FC P10 Car,45865.52269,44012.47684,42567.99022,42017.20626,41829.72623,41755.89713,41730.11031,40734.16482,39747.20764,38760.55691,37386.41114,36012.26538,34638.11962,33263.97385,31889.82809,31568.99453,31248.16098,30927.32742,30606.49386,30285.66031,29964.82675,29643.99319,29323.15964,29002.32608,28681.49252,28583.22353,28484.95455,28386.68556,28288.41657,28190.14759,28091.8786,27993.60961,27895.34062,27797.07164,27698.80265,27600.53366,27502.26468,27403.99569,27305.7267,27207.45772,27207.45772,27207.45772,27207.45772,27207.45772,27207.45772
FC P20 Car,55960.93371,52747.46523,49894.32662,48595.55025,48064.59001,47813.44144,47705.81259,46321.77828,44987.16929,43655.9057,41828.17352,40000.44135,38172.70919,36344.97702,34517.24486,34063.53893,33609.833,33156.12707,32702.42115,32248.71522,31795.00929,31341.30337,30887.59744,30433.89151,29980.18559,29855.20044,29730.2153,29605.23016,29480.24502,29355.25988,29230.27474,29105.2896,28980.30446,28855.31932,28730.33418,28605.34904,28480.36389,28355.37875,28230.39361,28105.40847,28105.40847,28105.40847,28105.40847,28105.40847,28105.40847
FC P40 Car,82627.5089,76086.52106,69337.74738,65578.24703,63674.31057,62560.50767,61958.89724,58145.028,54703.44596,51319.09892,48620.44578,45921.80063,43223.15548,40524.51033,37825.86518,37188.59397,36551.32276,35914.05155,35276.78034,34639.50913,34002.23792,33364.96671,32727.69549,32090.42428,31453.15307,31318.5062,31183.85933,31049.21246,30914.56559,30779.91872,30645.27185,30510.62497,30375.9781,30241.33123,30106.68436,29972.03749,29837.39062,29702.74375,29568.09688,29433.45,29433.45,29433.45,29433.45,29433.45,29433.45
