"","ZIP","wavail"
"1","90001",0.05
"2","90002",0.05
"3","90003",0.05
"4","90004",0.05
"5","90005",0.05
"6","90006",0.05
"7","90007",0.05
"8","90008",0.05
"9","90010",0.05
"10","90011",0.05
"11","90012",0.05
"12","90013",0.05
"13","90014",0.05
"14","90015",0.05
"15","90016",0.05
"16","90017",0.05
"17","90018",0.05
"18","90019",0.05
"19","90020",0.05
"20","90021",0.05
"21","90022",0.05
"22","90023",0.05
"23","90024",0.05
"24","90025",0.05
"25","90026",0.05
"26","90027",0.05
"27","90028",0.05
"28","90029",0.05
"29","90031",0.05
"30","90032",0.05
"31","90033",0.05
"32","90034",0.05
"33","90035",0.05
"34","90036",0.05
"35","90037",0.05
"36","90038",0.05
"37","90039",0.05
"38","90040",0.05
"39","90041",0.05
"40","90042",0.05
"41","90043",0.05
"42","90044",0.05
"43","90045",0.05
"44","90046",0.05
"45","90047",0.05
"46","90048",0.05
"47","90049",0.05
"48","90050",0.05
"49","90056",0.05
"50","90057",0.05
"51","90059",0.05
"52","90061",0.05
"53","90062",0.05
"54","90063",0.05
"55","90064",0.05
"56","90065",0.05
"57","90066",0.05
"58","90067",0.05
"59","90068",0.05
"60","90069",0.05
"61","90077",0.05
"62","90094",0.05
"63","90201",0.05
"64","90210",0.05
"65","90211",0.05
"66","90212",0.05
"67","90220",0.05
"68","90221",0.05
"69","90222",0.05
"70","90230",0.05
"71","90232",0.05
"72","90240",0.05
"73","90241",0.05
"74","90242",0.05
"75","90245",0.05
"76","90247",0.05
"77","90248",0.05
"78","90249",0.05
"79","90250",0.05
"80","90254",0.05
"81","90255",0.05
"82","90260",0.05
"83","90262",0.05
"84","90264",0.05
"85","90265",0.05
"86","90266",0.05
"87","90270",0.05
"88","90272",0.05
"89","90274",0.05
"90","90275",0.05
"91","90277",0.05
"92","90278",0.05
"93","90280",0.05
"94","90290",0.05
"95","90291",0.05
"96","90292",0.05
"97","90293",0.05
"98","90301",0.05
"99","90302",0.05
"100","90303",0.05
"101","90304",0.05
"102","90305",0.05
"103","90401",0.05
"104","90402",0.05
"105","90403",0.05
"106","90404",0.05
"107","90405",0.05
"108","90501",0.05
"109","90502",0.05
"110","90503",0.05
"111","90504",0.05
"112","90505",0.05
"113","90601",0.05
"114","90602",0.05
"115","90603",0.05
"116","90604",0.05
"117","90605",0.05
"118","90606",0.05
"119","90620",0.05
"120","90621",0.05
"121","90623",0.05
"122","90630",0.05
"123","90631",0.05
"124","90638",0.05
"125","90640",0.05
"126","90650",0.05
"127","90660",0.05
"128","90670",0.05
"129","90680",0.05
"130","90701",0.05
"131","90703",0.05
"132","90704",0.05
"133","90706",0.05
"134","90707",0.05
"135","90710",0.05
"136","90712",0.05
"137","90713",0.05
"138","90715",0.05
"139","90716",0.05
"140","90717",0.05
"141","90720",0.05
"142","90723",0.05
"143","90731",0.05
"144","90732",0.05
"145","90740",0.05
"146","90744",0.05
"147","90745",0.05
"148","90746",0.05
"149","90755",0.05
"150","90802",0.05
"151","90803",0.05
"152","90804",0.05
"153","90805",0.05
"154","90806",0.05
"155","90807",0.05
"156","90808",0.05
"157","90810",0.05
"158","90813",0.05
